season,date,team1,team2,toss_winner,toss_decision,team1_won_toss,toss_chose_bat,prob_team1,predicted_winner,actual_winner,correct
2023,2023-04-14,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,0,0,0.4921720027923584,Kolkata Knight Riders,Sunrisers Hyderabad,0
2023,2023-04-15,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,0,0,0.5129334330558777,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1
2023,2023-04-15,Lucknow Super Giants,Kings XI Punjab,Punjab Kings,field,0,0,0.5028727054595947,Lucknow Super Giants,Kings XI Punjab,0
2023,2023-04-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,0,0,0.5070699453353882,Kolkata Knight Riders,Mumbai Indians,0
2023,2023-04-16,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,0,0,0.5234285593032837,Gujarat Titans,Rajasthan Royals,0
2023,2023-04-17,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bangalore,field,0,0,0.5150527954101562,Chennai Super Kings,Chennai Super Kings,1
2023,2023-04-18,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,0,0.4959701597690582,Sunrisers Hyderabad,Mumbai Indians,0
2023,2023-04-19,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,0,0,0.48364195227622986,Rajasthan Royals,Lucknow Super Giants,0
2023,2023-04-20,Royal Challengers Bengaluru,Kings XI Punjab,Punjab Kings,field,0,0,0.48158159852027893,Kings XI Punjab,Royal Challengers Bengaluru,0
2023,2023-04-20,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,0,0,0.5138375759124756,Kolkata Knight Riders,Delhi Capitals,0
2023,2023-04-21,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,0,0,0.508138120174408,Sunrisers Hyderabad,Chennai Super Kings,0
2023,2023-04-22,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,1,1,0.5618220567703247,Gujarat Titans,Gujarat Titans,1
2023,2023-04-22,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,0,0,0.5121585130691528,Kings XI Punjab,Kings XI Punjab,1
2023,2023-04-23,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,0,0,0.5035213232040405,Chennai Super Kings,Chennai Super Kings,1
2023,2023-04-23,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,0,0,0.47752025723457336,Rajasthan Royals,Royal Challengers Bengaluru,0
2023,2023-04-24,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,1,1,0.5078161954879761,Delhi Capitals,Delhi Capitals,1
2023,2023-04-25,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,0,0,0.5336280465126038,Gujarat Titans,Gujarat Titans,1
2023,2023-04-26,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bangalore,field,0,0,0.4790305197238922,Royal Challengers Bengaluru,Kolkata Knight Riders,0
2023,2023-04-27,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,1,1,0.522061824798584,Rajasthan Royals,Rajasthan Royals,1
2023,2023-04-28,Lucknow Super Giants,Kings XI Punjab,Punjab Kings,field,0,0,0.49829939007759094,Kings XI Punjab,Lucknow Super Giants,0
2023,2023-04-29,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,0,0,0.5028883218765259,Kolkata Knight Riders,Gujarat Titans,0
2023,2023-04-29,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,1,1,0.5214129686355591,Sunrisers Hyderabad,Sunrisers Hyderabad,1
2023,2023-04-30,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,1,1,0.5055442452430725,Chennai Super Kings,Kings XI Punjab,0
2023,2023-04-30,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,1,1,0.5290083885192871,Rajasthan Royals,Mumbai Indians,0
2023,2023-05-01,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bangalore,bat,1,1,0.5147997736930847,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1
2023,2023-05-02,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,1,1,0.5308409333229065,Delhi Capitals,Delhi Capitals,1
2023,2023-05-03,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,0,0,0.48894646763801575,Mumbai Indians,Mumbai Indians,1
2023,2023-05-04,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,1,1,0.5116318464279175,Kolkata Knight Riders,Kolkata Knight Riders,1
2023,2023-05-05,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,1,1,0.5074332356452942,Rajasthan Royals,Gujarat Titans,0
2023,2023-05-06,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,0,0.4880106449127197,Chennai Super Kings,Chennai Super Kings,1
2023,2023-05-06,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bangalore,bat,1,1,0.5374447107315063,Royal Challengers Bengaluru,Delhi Capitals,0
2023,2023-05-07,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,1,1,0.525080144405365,Rajasthan Royals,Sunrisers Hyderabad,0
2023,2023-05-07,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,0,0,0.5499840378761292,Gujarat Titans,Gujarat Titans,1
2023,2023-05-08,Kings XI Punjab,Kolkata Knight Riders,Punjab Kings,bat,1,1,0.4952238202095032,Kolkata Knight Riders,Kolkata Knight Riders,1
2023,2023-05-09,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,0,0,0.49918225407600403,Mumbai Indians,Mumbai Indians,1
2023,2023-05-10,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,1,1,0.49524521827697754,Delhi Capitals,Chennai Super Kings,0
2023,2023-05-11,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,0,0,0.48489972949028015,Rajasthan Royals,Rajasthan Royals,1
2023,2023-05-12,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,0,0,0.5256062150001526,Mumbai Indians,Mumbai Indians,1
2023,2023-05-13,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,1,1,0.5125823020935059,Sunrisers Hyderabad,Lucknow Super Giants,0
2023,2023-05-13,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,0,0,0.515031099319458,Kings XI Punjab,Kings XI Punjab,1
2023,2023-05-14,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bangalore,bat,1,1,0.4758990705013275,Rajasthan Royals,Royal Challengers Bengaluru,0
2023,2023-05-14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,1,1,0.5119009017944336,Chennai Super Kings,Kolkata Knight Riders,0
2023,2023-05-15,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,0,0.511561930179596,Gujarat Titans,Gujarat Titans,1
2023,2023-05-16,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,0,0,0.4993802309036255,Mumbai Indians,Lucknow Super Giants,0
2023,2023-05-17,Delhi Capitals,Kings XI Punjab,Punjab Kings,field,0,0,0.47202959656715393,Kings XI Punjab,Delhi Capitals,0
2023,2023-05-18,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bangalore,field,0,0,0.4980860650539398,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1
2023,2023-05-19,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,0,0,0.49649778008461,Rajasthan Royals,Rajasthan Royals,1
2023,2023-05-20,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,1,1,0.5330691337585449,Chennai Super Kings,Chennai Super Kings,1
2023,2023-05-20,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,0,0,0.4860648214817047,Kolkata Knight Riders,Lucknow Super Giants,0
2023,2023-05-21,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,0,0,0.47058939933776855,Mumbai Indians,Mumbai Indians,1
2023,2023-05-21,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,0,0,0.4973328113555908,Gujarat Titans,Gujarat Titans,1
2023,2023-05-23,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,0,0,0.48283424973487854,Gujarat Titans,Chennai Super Kings,0
2023,2023-05-24,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,1,1,0.5098628401756287,Mumbai Indians,Mumbai Indians,1
2023,2023-05-26,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,0,0,0.5030196309089661,Gujarat Titans,Gujarat Titans,1
