file_id,season,bat_first_team,bat_second_team,bat_first_won,prob_bat_first,predicted_winner,correct,confidence
336005,2008,Chennai Super Kings,Rajasthan Royals,0,0.6428571428571429,Chennai Super Kings,0,0.6428571428571429
336006,2008,Royal Challengers Bengaluru,Kings XI Punjab,0,0.5074626865671642,Royal Challengers Bengaluru,0,0.5074626865671642
336007,2008,Chennai Super Kings,Deccan Chargers,0,0.6153846153846154,Chennai Super Kings,0,0.6153846153846154
336008,2008,Rajasthan Royals,Mumbai Indians,0,0.125,Mumbai Indians,1,0.875
336010,2008,Kolkata Knight Riders,Royal Challengers Bengaluru,1,0.6896551724137931,Kolkata Knight Riders,1,0.6896551724137931
336009,2008,Delhi Capitals,Chennai Super Kings,0,0.3188405797101449,Chennai Super Kings,1,0.6811594202898551
336011,2008,Deccan Chargers,Rajasthan Royals,0,0.23076923076923078,Rajasthan Royals,1,0.7692307692307692
336013,2008,Chennai Super Kings,Kings XI Punjab,1,0.6896551724137931,Chennai Super Kings,1,0.6896551724137931
336014,2008,Kolkata Knight Riders,Deccan Chargers,1,0.6896551724137931,Kolkata Knight Riders,1,0.6896551724137931
336015,2008,Delhi Capitals,Rajasthan Royals,0,0.918918918918919,Delhi Capitals,0,0.918918918918919
336016,2008,Royal Challengers Bengaluru,Kings XI Punjab,0,0.26666666666666666,Kings XI Punjab,1,0.7333333333333334
336017,2008,Kolkata Knight Riders,Delhi Capitals,1,0.95,Kolkata Knight Riders,1,0.95
336018,2008,Chennai Super Kings,Mumbai Indians,0,0.125,Mumbai Indians,1,0.875
336020,2008,Delhi Capitals,Deccan Chargers,1,0.95,Delhi Capitals,1,0.95
336021,2008,Kolkata Knight Riders,Mumbai Indians,0,0.43902439024390244,Mumbai Indians,1,0.5609756097560976
336023,2008,Rajasthan Royals,Royal Challengers Bengaluru,1,0.7619047619047619,Rajasthan Royals,1,0.7619047619047619
336022,2008,Delhi Capitals,Kings XI Punjab,0,0.3,Kings XI Punjab,1,0.7
336025,2008,Kolkata Knight Riders,Chennai Super Kings,0,0.16479897020384973,Chennai Super Kings,1,0.8352010297961503
336024,2008,Mumbai Indians,Deccan Chargers,1,0.6896551724137931,Mumbai Indians,1,0.6896551724137931
336026,2008,Royal Challengers Bengaluru,Delhi Capitals,0,0.125,Delhi Capitals,1,0.875
336027,2008,Kolkata Knight Riders,Rajasthan Royals,0,0.8359375,Kolkata Knight Riders,0,0.8359375
336028,2008,Kings XI Punjab,Mumbai Indians,1,0.8359375,Kings XI Punjab,1,0.8359375
336029,2008,Royal Challengers Bengaluru,Chennai Super Kings,1,0.3188405797101449,Chennai Super Kings,0,0.6811594202898551
336031,2008,Deccan Chargers,Kings XI Punjab,0,0.5074626865671642,Deccan Chargers,0,0.5074626865671642
336032,2008,Mumbai Indians,Delhi Capitals,0,0.3188405797101449,Delhi Capitals,1,0.6811594202898551
336033,2008,Rajasthan Royals,Chennai Super Kings,1,0.125,Chennai Super Kings,0,0.875
336002,2008,Deccan Chargers,Royal Challengers Bengaluru,0,0.6415094339622641,Deccan Chargers,0,0.6415094339622641
336035,2008,Kings XI Punjab,Kolkata Knight Riders,0,0.5074626865671642,Kings XI Punjab,0,0.5074626865671642
336036,2008,Mumbai Indians,Rajasthan Royals,0,0.43902439024390244,Rajasthan Royals,1,0.5609756097560976
336037,2008,Deccan Chargers,Chennai Super Kings,0,0.125,Chennai Super Kings,1,0.875
336019,2008,Kings XI Punjab,Rajasthan Royals,1,0.8359375,Kings XI Punjab,1,0.8359375
336012,2008,Royal Challengers Bengaluru,Mumbai Indians,0,0.125,Mumbai Indians,1,0.875
336038,2008,Rajasthan Royals,Delhi Capitals,1,0.8359375,Rajasthan Royals,1,0.8359375
336039,2008,Kings XI Punjab,Chennai Super Kings,0,0.125,Chennai Super Kings,1,0.875
336040,2008,Chennai Super Kings,Rajasthan Royals,0,0.7619047619047619,Chennai Super Kings,0,0.7619047619047619
392181,2009,Mumbai Indians,Chennai Super Kings,1,0.3,Chennai Super Kings,0,0.7
392182,2009,Royal Challengers Bengaluru,Rajasthan Royals,1,0.9223203984990589,Royal Challengers Bengaluru,1,0.9223203984990589
392184,2009,Kolkata Knight Riders,Deccan Chargers,0,0.125,Deccan Chargers,1,0.875
392183,2009,Kings XI Punjab,Delhi Capitals,0,0.26666666666666666,Delhi Capitals,1,0.7333333333333334
392185,2009,Chennai Super Kings,Royal Challengers Bengaluru,1,0.918918918918919,Chennai Super Kings,1,0.918918918918919
392186,2009,Kings XI Punjab,Kolkata Knight Riders,0,0.6153846153846154,Kings XI Punjab,0,0.6153846153846154
392188,2009,Deccan Chargers,Royal Challengers Bengaluru,1,0.95,Deccan Chargers,1,0.95
392190,2009,Rajasthan Royals,Kolkata Knight Riders,0,0.5074626865671642,Rajasthan Royals,0,0.5074626865671642
392189,2009,Delhi Capitals,Chennai Super Kings,1,0.8359375,Delhi Capitals,1,0.8359375
392191,2009,Royal Challengers Bengaluru,Kings XI Punjab,0,0.125,Kings XI Punjab,1,0.875
392192,2009,Deccan Chargers,Mumbai Indians,1,0.6896551724137931,Deccan Chargers,1,0.6896551724137931
392194,2009,Royal Challengers Bengaluru,Delhi Capitals,0,0.125,Delhi Capitals,1,0.875
392195,2009,Kings XI Punjab,Rajasthan Royals,1,0.8359375,Kings XI Punjab,1,0.8359375
392196,2009,Chennai Super Kings,Deccan Chargers,0,0.3,Deccan Chargers,1,0.7
392197,2009,Mumbai Indians,Kolkata Knight Riders,1,0.8359375,Mumbai Indians,1,0.8359375
392198,2009,Delhi Capitals,Rajasthan Royals,0,0.6896551724137931,Delhi Capitals,0,0.6896551724137931
392200,2009,Kings XI Punjab,Mumbai Indians,1,0.43902439024390244,Mumbai Indians,0,0.5609756097560976
392199,2009,Kolkata Knight Riders,Royal Challengers Bengaluru,0,0.6896551724137931,Kolkata Knight Riders,0,0.6896551724137931
392201,2009,Deccan Chargers,Delhi Capitals,0,0.125,Delhi Capitals,1,0.875
392202,2009,Chennai Super Kings,Rajasthan Royals,1,0.95,Chennai Super Kings,1,0.95
392204,2009,Royal Challengers Bengaluru,Kings XI Punjab,1,0.6415094339622641,Royal Challengers Bengaluru,1,0.6415094339622641
392203,2009,Mumbai Indians,Kolkata Knight Riders,1,0.125,Kolkata Knight Riders,0,0.875
392205,2009,Deccan Chargers,Rajasthan Royals,0,0.3,Rajasthan Royals,1,0.7
392206,2009,Chennai Super Kings,Delhi Capitals,1,0.6896551724137931,Chennai Super Kings,1,0.6896551724137931
