season,date,bat_first,bat_second,prob_chase_wins,predicted_winner,actual_winner,correct,confidence
2025,2025-05-01,Mumbai Indians,Rajasthan Royals,0.5966862645839143,Rajasthan Royals,Mumbai Indians,0,0.09668626458391427
2025,2025-05-02,Gujarat Titans,Sunrisers Hyderabad,0.48453844404703844,Gujarat Titans,Gujarat Titans,1,0.015461555952961559
2025,2025-05-03,Royal Challengers Bengaluru,Chennai Super Kings,0.5376268834666034,Chennai Super Kings,Royal Challengers Bengaluru,0,0.03762688346660337
2025,2025-05-04,Kolkata Knight Riders,Rajasthan Royals,0.6002426535948496,Rajasthan Royals,Kolkata Knight Riders,0,0.10024265359484963
2025,2025-05-04,Kings XI Punjab,Lucknow Super Giants,0.49608244126621376,Kings XI Punjab,Kings XI Punjab,1,0.003917558733786242
2025,2025-05-06,Mumbai Indians,Gujarat Titans,0.5801468626825579,Gujarat Titans,Gujarat Titans,1,0.08014686268255788
2025,2025-05-07,Kolkata Knight Riders,Chennai Super Kings,0.585350342515447,Chennai Super Kings,Chennai Super Kings,1,0.08535034251544704
2025,2025-05-18,Kings XI Punjab,Rajasthan Royals,0.5990654314639084,Rajasthan Royals,Kings XI Punjab,0,0.09906543146390845
2025,2025-05-18,Delhi Capitals,Gujarat Titans,0.5501159132935135,Gujarat Titans,Gujarat Titans,1,0.0501159132935135
2025,2025-05-19,Lucknow Super Giants,Sunrisers Hyderabad,0.42034930395035924,Lucknow Super Giants,Sunrisers Hyderabad,0,0.07965069604964076
2025,2025-05-20,Chennai Super Kings,Rajasthan Royals,0.6229708166238398,Rajasthan Royals,Rajasthan Royals,1,0.1229708166238398
2025,2025-05-21,Mumbai Indians,Delhi Capitals,0.5379773248756372,Delhi Capitals,Mumbai Indians,0,0.03797732487563721
2025,2025-05-22,Lucknow Super Giants,Gujarat Titans,0.5829353663095862,Gujarat Titans,Lucknow Super Giants,0,0.0829353663095862
2025,2025-05-23,Sunrisers Hyderabad,Royal Challengers Bengaluru,0.4710965413001817,Sunrisers Hyderabad,Sunrisers Hyderabad,1,0.028903458699818307
2025,2025-05-24,Kings XI Punjab,Delhi Capitals,0.42237222408499386,Kings XI Punjab,Delhi Capitals,0,0.07762777591500614
2025,2025-05-25,Chennai Super Kings,Gujarat Titans,0.6188140454837208,Gujarat Titans,Chennai Super Kings,0,0.11881404548372076
2025,2025-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,0.5419875570294904,Kolkata Knight Riders,Sunrisers Hyderabad,0,0.04198755702949042
2025,2025-05-26,Mumbai Indians,Kings XI Punjab,0.47674290726612933,Mumbai Indians,Kings XI Punjab,0,0.023257092733870666
2025,2025-05-27,Lucknow Super Giants,Royal Challengers Bengaluru,0.4631790790528489,Lucknow Super Giants,Royal Challengers Bengaluru,0,0.036820920947151115
2025,2025-05-29,Kings XI Punjab,Royal Challengers Bengaluru,0.45790559060268937,Kings XI Punjab,Royal Challengers Bengaluru,0,0.04209440939731063
2025,2025-05-30,Mumbai Indians,Gujarat Titans,0.5146245366892568,Gujarat Titans,Mumbai Indians,0,0.014624536689256784
2025,2025-06-01,Mumbai Indians,Kings XI Punjab,0.5191515263895536,Kings XI Punjab,Kings XI Punjab,1,0.01915152638955364
2025,2025-06-03,Royal Challengers Bengaluru,Kings XI Punjab,0.493827608788608,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1,0.006172391211392014
